V,I,P,R,T,mAH,WH,mAh,Wh,Rest_Time,RM_mAh,RM_%,UC,FCC
37.419,7.45,278.8,5.02,24.3,1071.83,41.045,1076.167,41.196,0,0,0,10400,10400
37.387,7.45,278.5,5.02,24.4,1092.53,41.819,1096.861,41.969,0,0,0,10400,10400
37.354,7.45,278.3,5.01,24.4,1112.81,42.577,1117.556,42.742,0,0,0,10400,10400
37.327,7.45,278.1,5.01,24.5,1133.57,43.352,1138.25,43.515,0,0,0,10400,10400
37.294,7.45,277.8,5.01,24.5,1154.33,44.127,1158.944,44.287,0,0,0,10400,10400
37.267,7.45,277.6,5.0,24.4,1175.46,44.915,1179.639,45.058,0,0,0,10400,10400
37.235,7.45,277.4,5.0,24.5,1195.38,45.657,1200.333,45.828,0,0,0,10400,10400
37.208,7.45,277.2,4.99,24.6,1216.54,46.444,1221.028,46.598,0,0,0,10400,10400
37.177,7.45,277.0,4.99,24.6,1237.25,47.215,1241.722,47.368,0,0,0,10400,10400
37.15,7.45,276.8,4.99,24.6,1257.53,47.968,1262.417,48.137,0,0,0,10400,10400
37.118,7.45,276.5,4.98,24.6,1278.26,48.738,1283.111,48.905,0,0,0,10400,10400
37.091,7.45,276.3,4.98,24.6,1299.38,49.522,1303.806,49.672,0,0,0,10400,10400
37.06,7.45,276.1,4.97,24.7,1320.14,50.291,1324.5,50.439,0,0,0,10400,10400
37.029,7.45,275.9,4.97,24.7,1340.86,51.059,1345.194,51.205,0,0,0,10400,10400
37.003,7.45,275.7,4.97,24.7,1361.16,51.811,1365.889,51.971,0,0,0,10400,10400
36.973,7.45,275.4,4.96,24.7,1381.92,52.578,1386.583,52.736,0,0,0,10400,10400
36.946,7.45,275.2,4.96,24.7,1402.7,53.346,1407.278,53.501,0,0,0,10400,10400
36.915,7.45,275.0,4.96,24.8,1423.86,54.128,1427.972,54.265,0,0,0,10400,10400
36.889,7.45,274.8,4.95,24.7,1444.55,54.891,1448.667,55.028,0,0,0,10400,10400
36.858,7.45,274.6,4.95,24.7,1464.84,55.639,1469.361,55.791,0,0,0,10400,10400
36.832,7.45,274.4,4.94,24.8,1485.55,56.402,1490.056,56.553,0,0,0,10400,10400
36.801,7.45,274.2,4.94,24.8,1505.85,57.15,1510.75,57.315,0,0,0,10400,10400
36.775,7.45,274.0,4.94,24.8,1526.55,57.911,1531.444,58.076,0,0,0,10400,10400
36.745,7.45,273.8,4.93,24.9,1547.66,58.687,1552.139,58.836,0,0,0,10400,10400
36.718,7.45,273.5,4.93,24.9,1568.36,59.447,1572.833,59.596,0,0,0,10400,10400
36.688,7.45,273.3,4.92,24.9,1588.68,60.193,1593.528,60.355,0,0,0,10400,10400
36.661,7.45,273.1,4.92,25.0,1609.38,60.953,1614.222,61.114,0,0,0,10400,10400
36.633,7.45,272.9,4.92,25.0,1630.52,61.727,1634.917,61.872,0,0,0,10400,10400
36.603,7.45,272.7,4.91,25.0,1651.26,62.487,1655.611,62.63,0,0,0,10400,10400
36.577,7.45,272.5,4.91,25.0,1671.56,63.23,1676.306,63.387,0,0,0,10400,10400
36.547,7.45,272.3,4.91,25.0,1692.28,63.987,1697.0,64.143,0,0,0,10400,10400
36.521,7.45,272.1,4.9,25.0,1713.41,64.759,1717.694,64.899,0,0,0,10400,10400
36.491,7.45,271.9,4.9,25.0,1734.12,65.515,1738.389,65.654,0,0,0,10400,10400
36.466,7.45,271.7,4.89,25.0,1754.88,66.272,1759.083,66.408,0,0,0,10400,10400
36.436,7.45,271.4,4.89,25.0,1775.61,67.028,1779.778,67.162,0,0,0,10400,10400
36.411,7.45,271.3,4.89,25.0,1795.9,67.767,1800.472,67.916,0,0,0,10400,10400
36.38,7.45,271.0,4.88,25.0,1816.62,68.521,1821.167,68.669,0,0,0,10400,10400
36.355,7.45,270.8,4.88,25.0,1836.94,69.26,1841.861,69.421,0,0,0,10400,10400
36.326,7.45,270.6,4.88,25.0,1857.74,70.016,1862.556,70.173,0,0,0,10400,10400
36.3,7.45,270.4,4.87,25.0,1878.44,70.768,1883.25,70.924,0,0,0,10400,10400
36.279,7.45,270.3,4.87,25.0,1899.15,71.519,1903.944,71.675,0,0,0,10400,10400
36.242,7.45,270.0,4.86,25.0,1919.93,72.273,1924.639,72.425,0,0,0,10400,10400
36.217,7.45,269.8,4.86,25.0,1941.1,73.04,1945.333,73.174,0,0,0,10400,10400
36.188,7.45,269.6,4.86,25.0,1961.82,73.79,1966.028,73.923,0,0,0,10400,10400
36.162,7.45,269.4,4.85,25.0,1982.11,74.524,1986.722,74.672,0,0,0,10400,10400
36.133,7.45,269.2,4.85,25.0,2002.86,75.274,2007.417,75.419,0,0,0,10400,10400
36.109,7.45,269.0,4.85,25.0,2023.97,76.036,2028.111,76.167,0,0,0,10400,10400
36.083,7.45,268.8,4.84,25.0,2043.89,76.755,2048.806,76.913,0,0,0,10400,10400
36.054,7.45,268.6,4.84,25.0,2064.6,77.502,2069.5,77.66,0,0,0,10400,10400
36.025,7.45,268.4,4.84,25.0,2085.33,78.249,2090.194,78.405,0,0,0,10400,10400
36.0,7.45,268.2,4.83,25.0,2106.48,79.011,2110.889,79.15,0,0,0,10400,10400
35.972,7.45,268.0,4.83,25.0,2127.23,79.758,2131.583,79.894,0,0,0,10400,10400
35.947,7.45,267.8,4.83,25.0,2147.51,80.487,2152.278,80.638,0,0,0,10400,10400
35.918,7.45,267.6,4.82,25.0,2168.23,81.232,2172.972,81.382,0,0,0,10400,10400
35.896,7.45,267.4,4.82,25.0,2189.34,81.99,2193.667,82.125,0,0,0,10400,10400
35.867,7.45,267.2,4.81,25.0,2210.05,82.733,2214.361,82.867,0,0,0,10400,10400
35.839,7.45,267.0,4.81,25.0,2230.77,83.476,2235.056,83.608,0,0,0,10400,10400
35.814,7.45,266.8,4.81,25.0,2251.07,84.203,2255.75,84.35,0,0,0,10400,10400
35.79,7.45,266.6,4.8,25.0,2271.82,84.946,2276.444,85.09,0,0,0,10400,10400
35.762,7.45,266.4,4.8,25.0,2292.98,85.703,2297.139,85.83,0,0,0,10400,10400
35.733,7.45,266.2,4.8,25.0,2313.7,86.443,2317.833,86.57,0,0,0,10400,10400
35.71,7.45,266.0,4.79,25.0,2334.41,87.183,2338.528,87.309,0,0,0,10400,10400
35.686,7.45,265.9,4.79,25.0,2354.72,87.908,2359.222,88.047,0,0,0,10400,10400
35.658,7.45,265.7,4.79,25.0,2375.42,88.647,2379.917,88.785,0,0,0,10400,10400
35.635,7.45,265.5,4.78,25.0,2395.77,89.372,2400.611,89.523,0,0,0,10400,10400
35.608,7.45,265.3,4.78,25.0,2416.47,90.109,2421.306,90.26,0,0,0,10400,10400
35.584,7.45,265.1,4.78,25.0,2437.21,90.848,2442.0,90.996,0,0,0,10400,10400
35.557,7.45,264.9,4.77,25.0,2458.34,91.599,2462.694,91.732,0,0,0,10400,10400
35.53,7.45,264.7,4.77,25.0,2479.11,92.338,2483.389,92.467,0,0,0,10400,10400
35.507,7.45,264.5,4.77,25.0,2499.84,93.074,2504.083,93.202,0,0,0,10400,10400
35.481,7.45,264.3,4.76,25.0,2520.12,93.794,2524.778,93.936,0,0,0,10400,10400
35.458,7.45,264.2,4.76,25.0,2541.26,94.544,2545.472,94.67,0,0,0,10400,10400
35.432,7.45,264.0,4.76,25.0,2561.96,95.277,2566.167,95.403,0,0,0,10400,10400
35.41,7.45,263.8,4.75,25.0,2582.7,96.012,2586.861,96.136,0,0,0,10400,10400
35.383,7.45,263.6,4.75,25.0,2602.98,96.73,2607.556,96.868,0,0,0,10400,10400
35.36,7.45,263.4,4.75,25.0,2623.76,97.465,2628.25,97.6,0,0,0,10400,10400
35.334,7.45,263.2,4.74,25.0,2644.05,98.182,2648.944,98.331,0,0,0,10400,10400
35.312,7.45,263.1,4.74,25.0,2664.75,98.913,2669.639,99.062,0,0,0,10400,10400
35.287,7.45,262.9,4.74,25.0,2685.47,99.644,2690.333,99.792,0,0,0,10400,10400
35.266,7.45,262.7,4.73,25.0,2706.6,100.39,2711.028,100.522,0,0,0,10400,10400
35.242,7.45,262.6,4.73,25.0,2727.31,101.12,2731.722,101.251,0,0,0,10400,10400
35.218,7.45,262.4,4.73,25.0,2747.61,101.835,2752.417,101.98,0,0,0,10400,10400
35.197,7.45,262.2,4.72,25.0,2768.35,102.565,2773.111,102.708,0,0,0,10400,10400
35.172,7.45,262.0,4.72,25.0,2789.47,103.308,2793.806,103.436,0,0,0,10400,10400
35.152,7.45,261.9,4.72,25.0,2810.2,104.037,2814.5,104.164,0,0,0,10400,10400
35.128,7.45,261.7,4.72,25.0,2830.5,104.75,2835.194,104.891,0,0,0,10400,10400
35.107,7.45,261.5,4.71,25.0,2851.29,105.48,2855.889,105.617,0,0,0,10400,10400
35.084,7.45,261.4,4.71,25.0,2872.0,106.207,2876.583,106.343,0,0,0,10400,10400
35.064,7.45,261.2,4.71,25.0,2893.11,106.948,2897.278,107.069,0,0,0,10400,10400
35.041,7.45,261.1,4.7,25.0,2913.06,107.647,2917.972,107.794,0,0,0,10400,10400
35.021,7.45,260.9,4.7,25.0,2933.78,108.373,2938.667,108.519,0,0,0,10400,10400
34.999,7.45,260.7,4.7,25.0,2954.89,109.112,2959.361,109.243,0,0,0,10400,10400
34.979,7.45,260.6,4.7,25.0,2975.59,109.836,2980.056,109.967,0,0,0,10400,10400
34.959,7.45,260.4,4.69,25.0,2995.89,110.546,3000.75,110.69,0,0,0,10400,10400
34.935,7.45,260.3,4.69,25.0,3016.63,111.271,3021.444,111.413,0,0,0,10400,10400
34.917,7.45,260.1,4.69,25.0,3037.73,112.008,3042.139,112.136,0,0,0,10400,10400
34.894,7.45,260.0,4.68,25.0,3058.49,112.733,3062.833,112.858,0,0,0,10400,10400
34.876,7.45,259.8,4.68,25.0,3079.23,113.456,3083.528,113.58,0,0,0,10400,10400
34.855,7.45,259.7,4.68,25.0,3099.51,114.163,3104.222,114.301,0,0,0,10400,10400
34.837,7.45,259.5,4.68,25.0,3120.24,114.885,3124.917,115.022,0,0,0,10400,10400
34.815,7.45,259.4,4.67,25.0,3141.39,115.622,3145.611,115.743,0,0,0,10400,10400
34.798,7.45,259.2,4.67,25.0,3162.1,116.343,3166.306,116.463,0,0,0,10400,10400
34.777,7.45,259.1,4.67,25.0,3182.82,117.064,3187.0,117.182,0,0,0,10400,10400
34.76,7.45,259.0,4.67,25.0,3203.12,117.77,3207.694,117.902,0,0,0,10400,10400
34.739,7.45,258.8,4.66,25.0,3223.87,118.49,3228.389,118.621,0,0,0,10400,10400
34.723,7.45,258.7,4.66,25.0,3244.15,119.195,3249.083,119.339,0,0,0,10400,10400
34.703,7.45,258.5,4.66,25.0,3264.87,119.914,3269.778,120.057,0,0,0,10400,10400
34.687,7.45,258.4,4.66,25.0,3285.6,120.633,3290.472,120.775,0,0,0,10400,10400
