V,I,P,R,T,mAH,WH,mAh,Wh,Rest_Time,RM_mAh,RM_%,UC,FCC
33.269,7.45,247.9,4.47,25.0,5500.26,195.778,5504.778,195.894,0,0,0,10400,10400
33.255,7.45,247.7,4.46,25.0,5520.6,196.455,5525.472,196.582,0,0,0,10400,10400
33.243,7.45,247.7,4.46,25.0,5541.37,197.145,5546.167,197.27,0,0,0,10400,10400
33.23,7.45,247.6,4.46,25.0,5562.07,197.833,5566.861,197.958,0,0,0,10400,10400
33.218,7.45,247.5,4.46,25.0,5582.8,198.522,5587.556,198.645,0,0,0,10400,10400
33.204,7.45,247.4,4.46,25.0,5603.52,199.21,5608.25,199.332,0,0,0,10400,10400
33.192,7.45,247.3,4.46,25.0,5624.69,199.913,5628.944,200.019,0,0,0,10400,10400
33.179,7.45,247.2,4.45,25.0,5645.38,200.6,5649.639,200.706,0,0,0,10400,10400
33.167,7.45,247.1,4.45,25.0,5665.67,201.272,5670.333,201.392,0,0,0,10400,10400
33.153,7.45,247.0,4.45,25.0,5686.44,201.961,5691.028,202.078,0,0,0,10400,10400
33.141,7.45,246.9,4.45,25.0,5707.18,202.649,5711.722,202.764,0,0,0,10400,10400
33.127,7.45,246.8,4.45,25.0,5727.87,203.334,5732.417,203.45,0,0,0,10400,10400
33.113,7.45,246.7,4.44,25.0,5748.18,204.007,5753.111,204.135,0,0,0,10400,10400
33.101,7.45,246.6,4.44,25.0,5768.9,204.693,5773.806,204.82,0,0,0,10400,10400
33.087,7.45,246.5,4.44,25.0,5789.68,205.381,5794.5,205.505,0,0,0,10400,10400
33.075,7.45,246.4,4.44,25.0,5810.79,206.079,5815.194,206.189,0,0,0,10400,10400
33.06,7.45,246.3,4.44,25.0,5831.48,206.763,5835.889,206.873,0,0,0,10400,10400
33.047,7.45,246.2,4.44,25.0,5851.8,207.435,5856.583,207.557,0,0,0,10400,10400
33.033,7.45,246.1,4.43,25.0,5872.5,208.119,5877.278,208.241,0,0,0,10400,10400
33.02,7.45,246.0,4.43,25.0,5893.23,208.803,5897.972,208.924,0,0,0,10400,10400
33.006,7.45,245.9,4.43,25.0,5914.34,209.5,5918.667,209.607,0,0,0,10400,10400
32.993,7.45,245.8,4.43,25.0,5935.06,210.184,5939.361,210.29,0,0,0,10400,10400
32.977,7.45,245.7,4.43,25.0,5955.78,210.867,5960.056,210.972,0,0,0,10400,10400
32.965,7.45,245.6,4.42,25.0,5976.06,211.536,5980.75,211.654,0,0,0,10400,10400
32.95,7.45,245.5,4.42,25.0,5996.82,212.22,6001.444,212.336,0,0,0,10400,10400
32.939,7.45,245.4,4.42,25.0,6017.52,212.902,6022.139,213.018,0,0,0,10400,10400
32.922,7.45,245.3,4.42,25.0,6038.64,213.598,6042.833,213.699,0,0,0,10400,10400
32.906,7.45,245.1,4.42,25.0,6059.37,214.28,6063.528,214.38,0,0,0,10400,10400
32.893,7.45,245.1,4.42,25.0,6079.65,214.947,6084.222,215.061,0,0,0,10400,10400
32.877,7.45,244.9,4.41,25.0,6100.37,215.629,6104.917,215.741,0,0,0,10400,10400
32.864,7.45,244.8,4.41,25.0,6121.44,216.321,6125.611,216.421,0,0,0,10400,10400
32.848,7.45,244.7,4.41,25.0,6142.15,217.002,6146.306,217.101,0,0,0,10400,10400
32.833,7.45,244.6,4.41,25.0,6162.43,217.668,6167.0,217.781,0,0,0,10400,10400
32.817,7.45,244.5,4.4,25.0,6182.97,218.342,6187.694,218.46,0,0,0,10400,10400
32.803,7.45,244.4,4.4,25.0,6203.68,219.021,6208.389,219.139,0,0,0,10400,10400
32.786,7.45,244.3,4.4,25.0,6224.37,219.7,6229.083,219.817,0,0,0,10400,10400
32.772,7.45,244.2,4.4,25.0,6245.51,220.393,6249.778,220.495,0,0,0,10400,10400
32.754,7.45,244.0,4.4,25.0,6266.22,221.071,6270.472,221.173,0,0,0,10400,10400
32.74,7.45,243.9,4.39,25.0,6286.95,221.75,6291.167,221.851,0,0,0,10400,10400
32.723,7.45,243.8,4.39,25.0,6307.24,222.414,6311.861,222.528,0,0,0,10400,10400
32.708,7.45,243.7,4.39,25.0,6327.98,223.093,6332.556,223.205,0,0,0,10400,10400
32.689,7.45,243.5,4.39,25.0,6348.68,223.77,6353.25,223.881,0,0,0,10400,10400
32.674,7.45,243.4,4.39,25.0,6368.98,224.433,6373.944,224.557,0,0,0,10400,10400
32.656,7.45,243.3,4.38,25.0,6389.74,225.111,6394.639,225.233,0,0,0,10400,10400
32.64,7.45,243.2,4.38,25.0,6410.48,225.788,6415.333,225.909,0,0,0,10400,10400
32.62,7.45,243.0,4.38,25.0,6431.18,226.464,6436.028,226.584,0,0,0,10400,10400
32.603,7.45,242.9,4.38,25.0,6452.29,227.152,6456.722,227.258,0,0,0,10400,10400
32.584,7.45,242.8,4.37,25.0,6473.05,227.829,6477.417,227.933,0,0,0,10400,10400
32.567,7.45,242.6,4.37,25.0,6493.33,228.489,6498.111,228.607,0,0,0,10400,10400
32.546,7.45,242.5,4.37,25.0,6514.07,229.164,6518.806,229.28,0,0,0,10400,10400
32.528,7.45,242.3,4.37,25.0,6534.78,229.838,6539.5,229.953,0,0,0,10400,10400
32.507,7.45,242.2,4.36,25.0,6555.92,230.525,6560.194,230.626,0,0,0,10400,10400
32.486,7.45,242.0,4.36,25.0,6576.69,231.201,6580.889,231.298,0,0,0,10400,10400
32.467,7.45,241.9,4.36,25.0,6597.39,231.873,6601.583,231.97,0,0,0,10400,10400
32.444,7.45,241.7,4.35,25.0,6617.67,232.531,6622.278,232.642,0,0,0,10400,10400
32.425,7.45,241.6,4.35,25.0,6638.43,233.204,6642.972,233.313,0,0,0,10400,10400
32.4,7.45,241.4,4.35,25.0,6659.2,233.878,6663.667,233.983,0,0,0,10400,10400
32.38,7.45,241.2,4.35,25.0,6679.89,234.548,6684.361,234.653,0,0,0,10400,10400
32.355,7.45,241.0,4.34,25.0,6700.18,235.205,6705.056,235.323,0,0,0,10400,10400
32.333,7.45,240.9,4.34,25.0,6720.9,235.875,6725.75,235.992,0,0,0,10400,10400
32.307,7.45,240.7,4.34,25.0,6741.6,236.544,6746.444,236.66,0,0,0,10400,10400
32.285,7.45,240.5,4.33,25.0,6762.38,237.215,6767.139,237.329,0,0,0,10400,10400
32.256,7.45,240.3,4.33,25.0,6783.55,237.898,6787.833,237.996,0,0,0,10400,10400
32.232,7.45,240.1,4.33,25.0,6804.26,238.566,6808.528,238.663,0,0,0,10400,10400
32.203,7.45,239.9,4.32,25.0,6825.05,239.235,6829.222,239.33,0,0,0,10400,10400
32.173,7.45,239.7,4.32,25.0,6844.98,239.877,6849.917,239.995,0,0,0,10400,10400
32.147,7.45,239.5,4.32,25.0,6866.12,240.557,6870.611,240.661,0,0,0,10400,10400
32.113,7.45,239.2,4.31,25.0,6886.86,241.223,6891.306,241.325,0,0,0,10400,10400
32.085,7.45,239.0,4.31,25.0,6907.55,241.887,6912.0,241.989,0,0,0,10400,10400
32.049,7.45,238.8,4.3,25.0,6927.84,242.538,6932.694,242.652,0,0,0,10400,10400
32.019,7.45,238.5,4.3,25.0,6948.59,243.202,6953.389,243.315,0,0,0,10400,10400
31.98,7.45,238.3,4.29,25.0,6969.3,243.865,6974.083,243.977,0,0,0,10400,10400
31.947,7.45,238.0,4.29,25.0,6990.09,244.53,6994.778,244.638,0,0,0,10400,10400
31.906,7.45,237.7,4.28,25.0,7010.83,245.192,7015.472,245.298,0,0,0,10400,10400
31.869,7.45,237.4,4.28,25.0,7031.94,245.865,7036.167,245.958,0,0,0,10400,10400
31.824,7.45,237.1,4.27,25.0,7052.71,246.527,7056.861,246.616,0,0,0,10400,10400
31.784,7.45,236.8,4.27,25.0,7073.44,247.186,7077.556,247.274,0,0,0,10400,10400
31.735,7.45,236.4,4.26,25.0,7093.75,247.831,7098.25,247.931,0,0,0,10400,10400
31.69,7.45,236.1,4.25,25.0,7114.44,248.487,7118.944,248.587,0,0,0,10400,10400
31.639,7.45,235.7,4.25,25.0,7135.17,249.143,7139.639,249.241,0,0,0,10400,10400
31.59,7.45,235.3,4.24,25.0,7155.45,249.785,7160.333,249.895,0,0,0,10400,10400
31.529,7.45,234.9,4.23,25.0,7176.21,250.44,7181.028,250.548,0,0,0,10400,10400
31.465,7.45,234.4,4.22,25.0,7196.9,251.092,7201.722,251.199,0,0,0,10400,10400
31.407,7.45,234.0,4.22,25.0,7217.65,251.744,7222.417,251.849,0,0,0,10400,10400
31.336,7.45,233.5,4.21,25.0,7238.75,252.406,7243.111,252.497,0,0,0,10400,10400
31.271,7.45,233.0,4.2,25.0,7259.5,253.055,7263.806,253.144,0,0,0,10400,10400
31.19,7.45,232.4,4.19,25.0,7280.2,253.702,7284.5,253.79,0,0,0,10400,10400
31.116,7.45,231.8,4.18,25.0,7300.48,254.334,7305.194,254.434,0,0,0,10400,10400
31.026,7.45,231.1,4.16,25.0,7321.27,254.979,7325.889,255.076,0,0,0,10400,10400
30.943,7.45,230.5,4.15,25.0,7341.96,255.62,7346.583,255.716,0,0,0,10400,10400
30.839,7.45,229.8,4.14,25.0,7363.07,256.273,7367.278,256.354,0,0,0,10400,10400
30.744,7.45,229.0,4.13,25.0,7383.76,256.91,7387.972,256.991,0,0,0,10400,10400
30.631,7.45,228.2,4.11,25.0,7404.54,257.548,7408.667,257.624,0,0,0,10400,10400
30.504,7.45,227.3,4.09,25.0,7425.24,258.18,7429.361,258.256,0,0,0,10400,10400
30.387,7.45,226.4,4.08,25.0,7445.54,258.798,7450.056,258.884,0,0,0,10400,10400
30.241,7.45,225.3,4.06,25.0,7466.29,259.427,7470.75,259.51,0,0,0,10400,10400
30.106,7.45,224.3,4.04,25.0,7487.08,260.055,7491.444,260.133,0,0,0,10400,10400
29.936,7.45,223.0,4.02,25.0,7507.78,260.676,7512.139,260.753,0,0,0,10400,10400
29.776,7.45,221.8,4.0,25.0,7528.05,261.282,7532.833,261.369,0,0,0,10400,10400
29.605,7.45,220.6,3.97,25.0,7548.81,261.898,7553.528,261.982,0,0,0,10400,10400
29.388,7.45,218.9,3.94,25.0,7569.58,262.51,7574.222,262.59,0,0,0,10400,10400
29.149,7.45,217.2,3.91,25.0,7590.34,263.118,7594.917,263.193,0,0,0,10400,10400
28.925,7.45,215.5,3.88,25.0,7611.04,263.719,7615.611,263.792,0,0,0,10400,10400
28.64,7.45,213.4,3.84,25.0,7632.16,264.327,7636.306,264.384,0,0,0,10400,10400
28.371,7.45,211.4,3.81,25.0,7652.89,264.918,7657.0,264.971,0,0,0,10400,10400
0.002,0.0,0.0,inf,25.0,7669.54,265.352,7657.0,264.971,10,0,0.0,10400,10400
